DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Weighted_Avg_Price,Weighted_Avg_Price.1,Trade_Volume,Trade_Price_Mean
2025-01-03 08:00:00,298.03,178409.0,313.51,111854.0,293.51,187013.0,336.08,117330.0,305.77,15.49,365422.0,229184.0,5.36,594606,136238.0,465.0,0.17,282.6,312.0,5381.0,299.4
2025-01-03 09:00:00,295.61,159010.0,328.04,98927.0,287.27,159221.0,375.11,102059.0,311.82,32.42,318231.0,200986.0,11.88,519217,117245.0,-356.0,0.17,279.0,312.0,6030.0,297.28
2025-01-03 10:00:00,287.53,150839.0,309.92,100795.0,280.9,158404.0,343.39,102601.0,298.72,22.38,309243.0,203396.0,8.13,512639,105847.0,398.0,0.14,275.0,296.0,5508.0,288.39
2025-01-03 11:00:00,289.76,159731.0,313.99,101519.0,283.44,169429.0,360.03,106686.0,301.87,24.23,329160.0,208205.0,9.55,537365,120955.0,103.0,0.16,274.0,300.0,5613.0,290.54
2025-01-03 12:00:00,294.68,161756.0,318.24,99192.0,286.98,176045.0,356.59,104409.0,306.46,23.56,337801.0,203601.0,9.21,541402,134200.0,-1546.0,0.19,281.0,308.0,5938.0,296.41
2025-01-03 13:00:00,303.24,148025.0,316.24,98335.0,297.88,153700.0,340.82,103176.0,309.74,13.0,301725.0,201511.0,4.55,503236,100214.0,1806.0,0.14,290.0,315.67,5320.0,304.97
2025-01-03 14:00:00,298.99,173776.0,311.02,112493.0,294.43,178386.0,331.94,120962.0,305.0,12.03,352162.0,233455.0,4.24,585617,118707.0,-901.0,0.14,280.5,313.0,5573.0,300.56
2025-01-03 15:00:00,294.16,171460.0,314.15,104067.0,287.16,175006.0,345.26,108257.0,304.16,19.99,346466.0,212324.0,7.81,558790,134142.0,365.0,0.16,280.0,304.0,5797.0,295.46
2025-01-06 07:00:00,293.64,68415.0,309.65,46708.0,290.17,74215.0,333.8,48928.0,301.65,16.0,142630.0,95636.0,6.04,238266,46994.0,124.0,0.13,279.0,303.0,2155.0,294.34
2025-01-06 08:00:00,292.71,153559.0,305.1,106890.0,289.08,163462.0,325.38,110783.0,298.9,12.39,317021.0,217673.0,4.72,534694,99348.0,810.0,0.12,279.0,302.0,4950.0,293.46
2025-01-06 09:00:00,298.64,169953.0,317.46,111224.0,291.78,179225.0,348.62,116739.0,308.05,18.82,349178.0,227963.0,7.13,577141,121215.0,-1657.0,0.16,284.0,311.0,5700.0,299.68
2025-01-06 10:00:00,302.86,176287.0,311.22,128293.0,298.95,181758.0,322.85,136267.0,307.04,8.36,358045.0,264560.0,2.87,622605,93485.0,-620.0,0.11,290.0,317.83,5406.0,304.93
2025-01-06 11:00:00,311.99,174442.0,321.52,122643.0,307.53,179171.0,337.73,129573.0,316.76,9.53,353613.0,252216.0,3.31,605829,101397.0,-1359.0,0.11,299.0,328.0,5387.0,313.65
2025-01-06 12:00:00,317.49,152451.0,336.11,106972.0,309.34,169447.0,371.67,107635.0,326.8,18.62,321898.0,214607.0,8.13,536505,107291.0,21.0,0.13,304.0,331.0,5613.0,319.57
2025-01-06 13:00:00,316.44,171184.0,325.36,122092.0,312.14,187365.0,342.19,126333.0,320.9,8.91,358549.0,248425.0,3.35,606974,110124.0,68.0,0.13,301.0,330.0,5366.0,318.41
2025-01-06 14:00:00,323.3,193255.0,331.88,127989.0,319.48,211289.0,342.95,141845.0,327.59,8.57,404544.0,269834.0,2.92,674378,134710.0,975.0,0.14,309.0,336.0,5229.0,325.19
2025-01-06 15:00:00,327.34,142119.0,335.9,97682.0,323.35,147324.0,347.65,102600.0,331.62,8.56,289443.0,200282.0,2.88,489725,89161.0,2983.0,0.13,313.0,342.0,4250.0,329.85
2025-01-07 07:00:00,332.91,78000.0,339.96,53026.0,329.36,76311.0,351.25,57457.0,336.44,7.05,154311.0,110483.0,2.34,264794,43828.0,-181.0,0.11,322.0,341.0,2217.0,333.92
2025-01-07 08:00:00,332.55,162706.0,339.9,106396.0,329.25,164454.0,348.95,110336.0,336.23,7.35,327160.0,216732.0,2.35,543892,110428.0,-2239.5,0.14,321.0,342.0,4204.0,333.43
2025-01-07 09:00:00,336.82,188410.0,343.73,121413.0,333.01,190708.0,351.89,132232.0,340.27,6.91,379118.0,253645.0,2.28,632763,125473.0,-7.5,0.14,324.0,354.0,4875.0,338.25
2025-01-07 10:00:00,350.35,193258.0,357.75,125199.0,346.25,192544.0,367.31,129820.0,354.05,7.4,385802.0,255019.0,2.27,640821,130783.0,-980.0,0.14,336.0,363.0,5248.0,351.9
2025-01-07 11:00:00,358.48,192231.0,365.96,125860.0,354.94,203442.0,373.14,139497.0,362.22,7.48,395673.0,265357.0,2.17,661030,130316.0,-413.5,0.14,338.0,373.0,5125.0,359.74
2025-01-07 12:00:00,360.23,206167.0,367.71,125167.0,356.85,218286.0,375.54,133410.0,363.97,7.47,424453.0,258577.0,2.14,683030,165876.0,-1471.5,0.18,344.0,375.0,5141.0,361.36
2025-01-07 13:00:00,370.81,176113.0,378.3,119052.0,367.0,191032.0,384.21,126861.0,374.55,7.49,367145.0,245913.0,2.25,613058,121232.0,-989.0,0.14,357.0,385.0,4597.0,373.03
2025-01-07 14:00:00,371.14,174536.0,378.72,114078.0,367.26,191568.0,386.49,119879.0,374.93,7.58,366104.0,233957.0,2.14,600061,132147.0,990.5,0.16,359.0,383.5,4758.0,373.5
2025-01-07 15:00:00,369.54,186344.0,376.96,126346.0,364.85,195246.0,383.48,135766.0,373.25,7.42,381590.0,262112.0,2.27,643702,119478.0,-872.0,0.12,356.0,383.0,4994.0,371.77
2025-01-08 07:00:00,356.06,59868.0,363.98,44259.0,352.26,61713.0,371.29,46039.0,360.02,7.92,121581.0,90298.0,2.21,211879,31283.0,1799.0,0.1,345.0,370.0,1696.0,358.79
2025-01-08 08:00:00,349.35,172614.0,356.75,119808.0,346.08,172574.0,364.45,128888.0,353.05,7.4,345188.0,248696.0,2.22,593884,96492.0,432.5,0.11,330.2,366.0,4868.0,351.33
2025-01-08 09:00:00,345.71,191989.0,353.36,126272.0,342.12,186922.0,363.88,134238.0,349.53,7.65,378911.0,260510.0,2.12,639421,118401.0,-845.0,0.13,333.0,356.0,5081.0,347.04
2025-01-08 10:00:00,338.61,182376.0,346.49,124842.0,335.17,185931.0,354.76,130194.0,342.55,7.88,368307.0,255036.0,2.6,623343,113271.0,-93.5,0.12,319.29,354.0,4983.0,340.02
2025-01-08 11:00:00,330.23,174502.0,337.59,124550.0,326.61,186797.0,348.38,131457.0,333.91,7.36,361299.0,256007.0,2.7,617306,105292.0,-120.5,0.12,315.0,342.6,5150.0,331.82
2025-01-08 12:00:00,332.21,190308.0,339.28,126029.0,328.92,187568.0,346.65,135045.0,335.74,7.07,377876.0,261074.0,2.13,638950,116802.0,-949.0,0.12,318.0,344.0,5065.0,333.21
2025-01-08 13:00:00,328.66,192512.0,335.62,127254.0,325.74,188449.0,341.8,140232.0,332.14,6.95,380961.0,267486.0,1.8,648447,113475.0,-286.0,0.11,313.0,337.0,4942.0,329.57
2025-01-08 14:00:00,322.07,163236.0,329.75,113689.0,318.93,170062.0,341.22,118857.0,325.91,7.68,333298.0,232546.0,2.81,565844,100752.0,-80.5,0.12,310.0,334.0,4718.0,322.87
2025-01-08 15:00:00,320.41,127951.0,330.55,91760.0,316.1,129912.0,355.16,93339.0,325.48,10.15,257863.0,185099.0,4.32,442962,72764.0,-1723.5,0.11,308.0,333.0,4521.0,321.05
2025-01-09 07:00:00,317.25,85098.0,324.0,61172.0,313.41,94008.0,334.04,65908.0,320.63,6.75,179106.0,127080.0,2.43,306186,52026.0,-940.0,0.11,308.0,328.0,2485.0,319.07
2025-01-09 08:00:00,319.8,193004.0,326.43,125929.0,316.13,203002.0,335.38,137753.0,323.12,6.63,396006.0,263682.0,2.43,659688,132324.0,-494.5,0.14,307.0,333.0,5146.0,321.44
2025-01-09 09:00:00,320.29,180588.0,327.26,124688.0,316.56,193755.0,335.61,135311.0,323.77,6.97,374343.0,259999.0,2.37,634342,114344.0,306.5,0.13,311.0,332.17,5129.0,322.35
2025-01-09 10:00:00,334.35,196745.0,341.76,125259.0,330.74,206707.0,350.87,133799.0,338.05,7.4,403452.0,259058.0,2.2,662510,144394.0,67.0,0.16,312.0,359.4,5248.0,336.68
2025-01-09 11:00:00,346.83,178160.0,353.74,115783.0,342.97,180445.0,360.88,130376.0,350.29,6.92,358605.0,246159.0,2.13,604764,112446.0,149.5,0.12,333.0,360.0,4797.0,349.02
2025-01-09 12:00:00,345.43,166620.0,353.0,109648.0,341.45,173251.0,360.69,115724.0,349.22,7.57,339871.0,225372.0,2.31,565243,114499.0,205.0,0.13,333.0,362.0,4567.0,349.04
2025-01-09 13:00:00,332.9,194093.0,339.73,135922.0,329.33,209627.0,345.94,142021.0,336.32,6.82,403720.0,277943.0,1.93,681663,125777.0,-723.5,0.13,315.0,354.0,5106.0,334.19
2025-01-09 14:00:00,318.44,168828.0,325.35,112678.0,314.68,188397.0,336.23,121938.0,321.89,6.91,357225.0,234616.0,2.62,591841,122609.0,-3025.0,0.15,305.0,334.0,4808.0,319.81
2025-01-09 15:00:00,316.11,162745.0,323.24,110483.0,311.68,183161.0,337.65,116807.0,319.68,7.13,345906.0,227290.0,2.71,573196,118616.0,-2173.5,0.15,306.0,328.0,4827.0,317.55
2025-01-10 07:00:00,320.55,94447.0,329.21,57771.0,316.27,102450.0,341.93,60863.0,324.88,8.66,196897.0,118634.0,2.94,315531,78263.0,187.0,0.18,311.2,331.0,2557.0,322.7
2025-01-10 08:00:00,317.52,193143.0,324.71,122134.0,314.06,195464.0,336.62,131552.0,321.11,7.2,388607.0,253686.0,2.57,642293,134921.0,295.0,0.15,307.0,330.0,5372.0,319.53
2025-01-10 09:00:00,319.28,171775.0,328.71,110106.0,314.27,181417.0,344.97,117237.0,323.99,9.43,353192.0,227343.0,3.79,580535,125849.0,838.5,0.16,308.0,331.0,5326.0,321.32
2025-01-10 10:00:00,319.42,182106.0,327.04,121147.0,315.46,190851.0,338.89,125375.0,323.23,7.62,372957.0,246522.0,2.67,619479,126435.0,738.0,0.15,308.0,333.0,5382.0,321.84
2025-01-10 11:00:00,321.27,170015.0,328.71,107209.0,317.26,172663.0,337.52,113702.0,324.99,7.44,342678.0,220911.0,2.17,563589,121767.0,803.5,0.16,309.0,333.0,4706.0,323.43
2025-01-10 12:00:00,308.66,174854.0,317.14,112651.0,304.62,175918.0,332.07,127626.0,312.9,8.48,350772.0,240277.0,3.19,591049,110495.0,720.5,0.13,295.0,326.0,5391.0,311.3
2025-01-10 13:00:00,307.09,179163.0,314.53,120107.0,303.22,194699.0,325.3,132973.0,310.81,7.43,373862.0,253080.0,2.62,626942,120782.0,-604.0,0.14,297.0,319.0,5321.0,309.16
2025-01-10 14:00:00,299.12,182528.0,305.82,116586.0,295.55,192409.0,316.84,126543.0,302.47,6.71,374937.0,243129.0,2.08,618066,131808.0,-2374.0,0.16,288.67,313.0,5199.0,300.94
2025-01-10 15:00:00,292.44,147341.0,299.24,99663.0,289.72,153979.0,307.27,105674.0,295.84,6.8,301320.0,205337.0,1.92,506657,95983.0,-1903.5,0.13,285.0,300.0,4017.0,292.94
2025-01-13 07:00:00,286.64,54301.0,306.51,35756.0,282.57,51069.0,346.4,36782.0,296.57,19.86,105370.0,72538.0,7.35,177908,32832.0,-970.5,0.13,276.0,295.0,1875.0,288.16
2025-01-13 08:00:00,294.14,162806.0,311.84,110758.0,288.19,167297.0,340.59,120063.0,302.99,17.7,330103.0,230821.0,6.73,560924,99282.0,-169.0,0.12,280.0,309.0,5773.0,296.13
2025-01-13 09:00:00,301.32,152778.0,328.11,106436.0,293.73,147196.0,364.41,110262.0,314.72,26.79,299974.0,216698.0,9.24,516672,83276.0,-803.5,0.12,289.0,312.6,6124.0,303.04
2025-01-13 10:00:00,300.36,156046.0,328.51,102967.0,291.73,163484.0,368.39,104963.0,314.44,28.15,319530.0,207930.0,10.01,527460,111600.0,-570.5,0.15,289.0,312.0,6012.0,301.91
2025-01-13 11:00:00,310.59,155781.0,345.89,95057.0,301.76,148192.0,394.89,97912.0,328.24,35.3,303973.0,192969.0,13.29,496942,111004.0,-2249.5,0.16,293.0,323.0,6140.0,311.88
2025-01-13 12:00:00,311.85,163123.0,335.43,106450.0,303.31,167138.0,369.71,112070.0,323.64,23.57,330261.0,218520.0,8.39,548781,111741.0,667.0,0.14,299.0,331.0,5992.0,314.23
2025-01-13 13:00:00,327.64,162165.0,336.25,117284.0,323.25,165630.0,347.75,122491.0,331.95,8.61,327795.0,239775.0,2.84,567570,88020.0,-704.5,0.1,311.0,345.0,5046.0,330.71
2025-01-13 14:00:00,332.11,171367.0,348.93,110209.0,325.67,172142.0,379.07,108857.0,340.52,16.82,343509.0,219066.0,6.71,562575,124443.0,-507.5,0.17,320.0,346.0,5953.0,334.82
2025-01-13 15:00:00,332.48,152983.0,343.22,108983.0,326.46,166740.0,360.98,112849.0,337.85,10.74,319723.0,221832.0,3.94,541555,97891.0,2024.5,0.13,322.0,348.25,5142.0,336.14
2025-01-14 07:00:00,335.36,95497.0,342.6,64175.0,331.63,95834.0,352.65,72345.0,338.98,7.24,191331.0,136520.0,2.47,327851,54811.0,-78.0,0.11,322.0,351.0,2584.0,337.24
2025-01-14 08:00:00,339.66,193320.0,346.96,120979.0,335.51,188048.0,354.8,130051.0,343.31,7.31,381368.0,251030.0,2.23,632398,130338.0,-14.0,0.15,324.0,354.5,5051.0,341.71
2025-01-14 09:00:00,340.31,174110.0,347.66,120278.0,336.18,177435.0,357.88,130174.0,343.99,7.35,351545.0,250452.0,2.39,601997,101093.0,-321.0,0.11,329.5,354.0,5241.0,343.05
2025-01-14 10:00:00,339.0,190733.0,346.5,123233.0,335.13,195382.0,357.5,132526.0,342.75,7.5,386115.0,255759.0,2.79,641874,130356.0,-561.0,0.13,324.0,353.0,5143.0,340.97
2025-01-14 11:00:00,334.0,190755.0,340.98,124409.0,329.62,194704.0,350.97,137779.0,337.49,6.99,385459.0,262188.0,2.47,647647,123271.0,212.0,0.13,320.0,347.0,5176.0,335.63
2025-01-14 12:00:00,331.23,184426.0,338.8,119838.0,327.16,182832.0,350.29,128781.0,335.02,7.56,367258.0,248619.0,2.57,615877,118639.0,1059.0,0.13,319.0,346.0,5031.0,333.86
2025-01-14 13:00:00,324.39,143824.0,331.78,99586.0,320.56,150550.0,347.89,104231.0,328.08,7.39,294374.0,203817.0,2.77,498191,90557.0,269.0,0.13,311.0,338.0,4453.0,325.46
2025-01-14 14:00:00,327.71,176583.0,334.51,118274.0,324.4,179499.0,343.78,122695.0,331.11,6.8,356082.0,240969.0,2.27,597051,115113.0,-2025.0,0.13,308.0,346.0,4673.0,328.58
2025-01-14 15:00:00,339.22,167117.0,346.54,108916.0,334.9,172851.0,355.99,117554.0,342.88,7.32,339968.0,226470.0,2.41,566438,113498.0,-408.0,0.14,322.0,355.25,4716.0,341.12
2025-01-15 07:00:00,347.16,56155.0,355.88,38085.0,341.21,60123.0,365.18,44408.0,351.52,8.72,116278.0,82493.0,2.91,198771,33785.0,1901.0,0.13,337.0,357.0,1549.0,348.79
2025-01-15 08:00:00,340.68,197433.0,348.51,125860.0,336.74,204545.0,357.8,139371.0,344.59,7.84,401978.0,265231.0,2.58,667209,136747.0,-360.0,0.14,326.0,352.0,5276.0,342.38
2025-01-15 09:00:00,339.22,197671.0,346.63,127850.0,335.49,201719.0,354.91,143183.0,342.93,7.41,399390.0,271033.0,2.12,670423,128357.0,-745.0,0.13,324.0,352.0,5278.0,341.46
2025-01-15 10:00:00,327.85,184892.0,336.53,123456.0,323.65,187659.0,348.35,132004.0,332.19,8.68,372551.0,255460.0,2.92,628011,117091.0,-224.5,0.14,311.0,346.0,5268.0,329.76
2025-01-15 11:00:00,327.13,193820.0,335.77,127825.0,323.32,204638.0,347.16,138578.0,331.45,8.64,398458.0,266403.0,2.72,664861,132055.0,-1687.5,0.13,310.0,340.0,5273.0,328.93
2025-01-15 12:00:00,314.5,190106.0,325.56,124732.0,310.76,195806.0,343.09,128485.0,320.03,11.06,385912.0,253217.0,3.84,639129,132695.0,-699.0,0.15,290.67,328.0,5313.0,315.7
2025-01-15 13:00:00,308.5,156961.0,337.47,98646.0,302.17,160757.0,381.33,101988.0,322.98,28.97,317718.0,200634.0,11.17,518352,117084.0,-2006.5,0.16,292.71,317.0,5612.0,309.37
2025-01-15 14:00:00,305.83,145131.0,338.58,96701.0,299.24,144735.0,392.36,96040.0,322.21,32.74,289866.0,192741.0,13.29,482607,97125.0,8.5,0.15,291.0,316.0,5590.0,306.56
2025-01-15 15:00:00,309.15,159648.0,335.63,100730.0,302.79,159414.0,378.34,100829.0,322.39,26.48,319062.0,201559.0,10.91,520621,117503.0,151.5,0.16,295.0,319.0,5584.0,309.99
2025-01-16 07:00:00,305.48,78061.0,316.17,47025.0,300.56,77036.0,337.77,49628.0,310.83,10.69,155097.0,96653.0,3.85,251750,58444.0,2760.0,0.17,297.0,319.0,2452.0,308.02
2025-01-16 08:00:00,301.33,172718.0,313.57,109632.0,295.38,178269.0,336.23,119084.0,307.45,12.24,350987.0,228716.0,4.65,579703,122271.0,114.0,0.15,285.0,316.0,5745.0,302.97
2025-01-16 09:00:00,298.08,190905.0,306.93,121056.0,294.36,204600.0,322.54,130917.0,302.5,8.85,395505.0,251973.0,2.95,647478,143532.0,-799.0,0.16,285.0,310.0,5527.0,299.2
2025-01-16 10:00:00,300.91,183082.0,308.18,121265.0,296.96,194303.0,317.11,135216.0,304.54,7.27,377385.0,256481.0,2.41,633866,120904.0,177.5,0.14,290.17,315.0,5476.0,303.21
2025-01-16 11:00:00,301.11,160533.0,315.49,107362.0,294.66,175141.0,339.85,110781.0,308.3,14.37,335674.0,218143.0,5.5,553817,117531.0,471.5,0.15,282.0,315.0,5511.0,302.8
2025-01-16 12:00:00,288.45,171358.0,305.38,108559.0,281.62,177237.0,344.6,113071.0,296.92,16.93,348595.0,221630.0,7.19,570225,126965.0,-1006.5,0.16,275.5,300.0,6064.0,289.87
2025-01-16 13:00:00,287.41,174865.0,305.21,105445.0,281.09,189573.0,343.81,109704.0,296.31,17.8,364438.0,215149.0,6.61,579587,149289.0,-826.0,0.18,273.0,297.0,5952.0,288.92
2025-01-16 14:00:00,281.43,167428.0,301.72,100322.0,275.9,183481.0,343.48,104308.0,291.58,20.29,350909.0,204630.0,7.54,555539,146279.0,-411.0,0.21,268.0,292.0,5921.0,282.16
2025-01-16 15:00:00,276.61,135258.0,309.12,86448.0,271.18,149917.0,358.59,86785.0,292.86,32.51,285175.0,173233.0,11.19,458408,111942.0,312.5,0.18,266.0,285.0,4918.0,277.01
2025-01-17 07:00:00,278.79,73669.0,299.93,45618.0,274.53,77318.0,338.02,47897.0,289.36,21.14,150987.0,93515.0,7.39,244502,57472.0,185.5,0.18,269.0,287.0,2507.0,279.85
2025-01-17 08:00:00,282.49,152755.0,303.69,98092.0,277.49,156491.0,345.19,99258.0,293.09,21.21,309246.0,197350.0,8.68,506596,111896.0,1227.5,0.16,269.0,292.0,5480.0,283.35
2025-01-17 09:00:00,283.86,171212.0,297.07,114483.0,279.83,171050.0,319.02,117464.0,290.47,13.2,342262.0,231947.0,4.74,574209,110315.0,307.0,0.13,272.0,296.0,5498.0,285.02
2025-01-17 10:00:00,285.73,188764.0,297.92,119046.0,281.7,194066.0,316.84,126430.0,291.83,12.19,382830.0,245476.0,4.6,628306,137354.0,-690.0,0.16,274.0,296.0,5565.0,287.12
2025-01-17 11:00:00,285.83,178151.0,298.21,116503.0,282.07,188767.0,321.83,125488.0,292.02,12.37,366918.0,241991.0,4.44,608909,124927.0,-501.5,0.15,270.0,297.0,5523.0,286.44
2025-01-17 12:00:00,288.4,168067.0,303.94,106187.0,282.31,165753.0,331.2,110502.0,296.17,15.54,333820.0,216689.0,6.55,550509,117131.0,-1103.5,0.16,274.0,300.0,5695.0,289.93
2025-01-17 13:00:00,297.35,168192.0,320.25,108453.0,291.44,176611.0,360.27,114751.0,308.8,22.9,344803.0,223204.0,9.07,568007,121599.0,-777.0,0.16,283.0,310.0,5977.0,298.8
2025-01-17 14:00:00,301.41,168354.0,322.17,109620.0,296.29,170211.0,360.06,114164.0,311.79,20.75,338565.0,223784.0,7.66,562349,114781.0,2170.5,0.14,288.75,316.0,5839.0,303.1
2025-01-17 15:00:00,307.21,143226.0,322.44,97857.0,301.21,153835.0,348.48,98524.0,314.83,15.23,297061.0,196381.0,6.11,493442,100680.0,1034.0,0.14,294.0,319.0,4863.0,309.19
2025-01-20 07:00:00,320.74,70153.0,346.38,43687.0,317.49,77580.0,380.1,44909.0,333.56,25.65,147733.0,88596.0,8.41,236329,59137.0,-1485.5,0.19,310.0,328.0,2010.0,321.29
2025-01-20 08:00:00,328.32,144350.0,354.41,99293.0,322.02,143625.0,389.3,101810.0,341.37,26.09,287975.0,201103.0,9.28,489078,86872.0,-2762.0,0.12,314.0,347.0,5408.0,329.22
2025-01-20 09:00:00,340.21,173001.0,358.62,112391.0,334.69,168934.0,388.38,117403.0,349.42,18.41,341935.0,229794.0,6.85,571729,112141.0,185.0,0.14,324.0,353.0,5830.0,341.78
2025-01-20 10:00:00,335.33,184685.0,344.83,124986.0,330.55,176359.0,355.9,135575.0,340.08,9.5,361044.0,260561.0,3.23,621605,100483.0,-1222.5,0.1,321.0,350.0,5557.0,337.47
2025-01-20 11:00:00,338.95,168975.0,355.61,115856.0,332.56,168057.0,376.98,123546.0,347.28,16.65,337032.0,239402.0,6.05,576434,97630.0,-1778.5,0.11,326.33,352.0,5458.0,340.73
2025-01-20 12:00:00,342.0,180687.0,352.15,121590.0,337.31,187871.0,366.27,128536.0,347.07,10.15,368558.0,250126.0,3.68,618684,118432.0,-1007.5,0.13,326.0,355.0,5430.0,343.62
2025-01-20 13:00:00,334.74,172641.0,347.4,121336.0,329.98,188706.0,370.16,126861.0,341.07,12.66,361347.0,248197.0,4.75,609544,113150.0,-25.0,0.12,321.0,347.0,5732.0,336.41
2025-01-20 14:00:00,336.8,187390.0,346.24,127674.0,333.32,184203.0,361.72,137998.0,341.52,9.44,371593.0,265672.0,3.19,637265,105921.0,84.5,0.11,323.75,352.0,5281.0,338.26
2025-01-20 15:00:00,352.07,143030.0,365.75,92868.0,346.69,149398.0,383.83,99702.0,358.91,13.68,292428.0,192570.0,4.5,484998,99858.0,3346.0,0.15,336.8,369.0,4378.0,354.68
2025-01-21 07:00:00,364.31,92557.0,371.92,60610.0,360.08,91655.0,380.54,62874.0,368.12,7.61,184212.0,123484.0,2.2,307696,60728.0,-673.0,0.15,350.0,378.0,2652.0,366.22
2025-01-21 08:00:00,365.21,181998.0,372.62,124726.0,361.38,188956.0,380.44,131669.0,368.91,7.41,370954.0,256395.0,2.39,627349,114559.0,-981.0,0.13,350.0,385.0,5104.0,367.22
2025-01-21 09:00:00,375.95,165108.0,383.74,111539.0,371.44,168730.0,391.45,119629.0,379.84,7.79,333838.0,231168.0,2.39,565006,102670.0,1254.5,0.12,363.0,395.0,4647.0,378.89
2025-01-21 10:00:00,376.47,164372.0,384.17,110944.0,372.37,166283.0,393.03,112966.0,380.32,7.7,330655.0,223910.0,2.62,554565,106745.0,91.5,0.14,360.0,394.0,4856.0,379.54
2025-01-21 11:00:00,366.79,185190.0,374.48,130875.0,362.66,182722.0,381.93,138834.0,370.63,7.7,367912.0,269709.0,2.56,637621,98203.0,-547.0,0.1,354.0,380.0,5311.0,369.08
2025-01-21 12:00:00,363.12,181765.0,370.67,128773.0,359.01,178401.0,377.95,138195.0,366.89,7.55,360166.0,266968.0,2.19,627134,93198.0,-1125.5,0.1,346.0,378.0,5149.0,364.56
2025-01-21 13:00:00,351.31,177142.0,359.02,123060.0,347.06,178483.0,368.34,129446.0,355.17,7.71,355625.0,252506.0,2.81,608131,103119.0,-1243.5,0.12,337.0,372.0,5278.0,353.2
2025-01-21 14:00:00,354.69,178148.0,362.11,124333.0,350.52,175739.0,371.05,132732.0,358.4,7.41,353887.0,257065.0,2.59,610952,96822.0,-1553.5,0.1,336.0,373.0,5278.0,356.66
2025-01-21 15:00:00,336.91,130853.0,344.88,92189.0,332.99,125713.0,355.49,99289.0,340.89,7.96,256566.0,191478.0,2.7,448044,65088.0,-1870.0,0.09,321.4,352.0,3785.0,338.01
2025-01-22 07:00:00,321.96,80814.0,329.64,60150.0,318.19,85213.0,342.87,64471.0,325.8,7.68,166027.0,124621.0,2.76,290648,41406.0,366.0,0.09,310.0,332.0,2446.0,323.93
2025-01-22 08:00:00,318.95,167888.0,326.81,118880.0,314.37,174634.0,339.98,127894.0,322.88,7.86,342522.0,246774.0,2.85,589296,95748.0,-1329.0,0.1,305.0,332.0,5147.0,320.97
2025-01-22 09:00:00,321.38,162291.0,328.97,112187.0,317.63,171779.0,338.17,120551.0,325.17,7.59,334070.0,232738.0,2.11,566808,101332.0,40.0,0.12,310.0,335.0,4936.0,323.86
